3851,1810210
3857,1597450
3863,1204572
3870,1126586
3876,669208
3882,476612
3889,414474
3895,326864
3902,536712
3908,736747
3914,527758
3921,492406
3927,357714
3933,56573
3940,57519
3946,80673
3952,220855
3959,92393
3965,75567
3972,124893
3978,122814
3984,106533
3991,172031
3997,93888
4003,6965
4010,42225
4016,29980
4022,58388
4029,62262
4035,26477
4042,97785
4048,117479
4054,118600
4061,135440
4067,116840
4073,69020
4080,75224
4086,54280
4092,38914
4099,40889
4105,47946
4112,35844
4118,31704
4124,21274
4131,32631
4137,46080
4143,24973
4150,33107
4156,38500
4163,23335
4169,23240
4175,14223
4182,33709
4188,7210
4194,55174
4201,114850
4207,62167
4213,85553
4220,125170
4226,44756
4233,31539
4239,65051
4245,184942
4252,137189
4258,54686
4264,72215
4271,87201
4277,58714
4283,69170
4290,150387
4296,114967
4303,184097
4309,174501
4315,255073
4322,492849
4328,458174
4334,266726
4341,400572
4347,198557
4353,140701
4360,260810
4366,288170
4373,90071
4379,211948
4385,59241
4392,327874
4398,71998
4404,129688
4411,120389
4417,61755
4424,83547
4430,65095
4436,101050
4443,41642
4449,196113
4455,270379
4462,443644
4468,443438
4474,470709
4481,758761
4487,911409
4494,817714
4500,1039860
4506,702268
4513,799279
4519,649319
4525,385278
4532,275614
4538,290685
4544,239176
4551,294442
4557,678459
4564,570103
4570,413218
4576,165063
4583,150711
4589,223181
4595,140894
4602,123812
4608,75423
4614,46822
4621,26748
4627,73011
4634,155725
4640,128568
4646,75791
4653,98306
4659,51842
4665,28106
4672,97381
4678,33582
4684,34411
4691,33062
4697,110258
4704,54905
4710,36693
4716,66837
4723,38995
4729,79661
4735,13161
4742,33823
4748,100944
4755,40841
4761,77067
4767,75459
4774,72226
4780,30165
4786,85562
4793,177957
4799,256130
4805,307537
4812,299257
4818,247746
4825,136799
4831,74734
4837,129315
4844,78600
4850,86785
4856,148836
4863,244006
4869,172794
4875,104501
4882,94794
4888,39994
4895,32436
4901,85827
4907,90523
4914,28227
4920,15828
4926,10717
4933,59565
4939,68311
4945,43222
4952,66671
4958,30967
4965,25552
4971,35924
4977,91387
4984,35486
4990,24214
4996,75237
5003,76571
5009,148551
5015,116811
5022,49714
5028,107422
5035,68743
5041,77175
5047,82771
5054,17663
5060,72324
5066,200332
